Dates,BTC Index,ETH Index,BGCI Index,FSTOK10 Index,FSTOK40 Index,SOBLCRTA Index,HODL5 Index
28/12/2022,1860.38,1846.87,797.26,315.454,185.992,2732.06,3682.6
29/12/2022,1861.94,1850.39,790.73,311.24,181.809,2800.69,3696.03
30/12/2022,1863.19,1856.9,794.08,312.898,181.979,2797.6,3679.75
02/01/2023,1863.19,1856.9,794.08,312.522,183.201,2797.3,3761.04
03/01/2023,1869.11,1873.4,815.43,314.822,185.346,2821.48,3768.17
04/01/2023,1885.49,1937.72,833.07,314.656,184.889,2860.7,3854.6
05/01/2023,1891.37,1939.72,836.77,320.986,189.497,2815.4,3837.44
06/01/2023,1896.28,1959.05,840.89,319.612,188.117,2864.22,3860.9
09/01/2023,1931.24,2044.85,882.59,327.122,194.474,2878,4071.12
10/01/2023,1959.71,2074.58,898.99,330.954,199.002,2926.46,4050.56
11/01/2023,1969.82,2079.04,901.08,335.311,201.291,2955.07,4024.48
12/01/2023,2128.7,2213.34,961.43,346.006,203.165,2984.38,4202.48
13/01/2023,2180.28,2204.59,972.14,359.27,206.208,3006.76,4401.44
16/01/2023,2180.28,2204.59,972.14,393.555,215.888,3005.33,4831.59
17/01/2023,2394.18,2450.01,1073.29,398.212,213.943,3047.62,4905.02
18/01/2023,2330.54,2359.65,1025.62,398.212,213.943,2989.67,4822.61
19/01/2023,2363,2408.2,1046.16,398.212,213.943,2971.27,4773.56
20/01/2023,2502.79,2540.47,1105.26,395.142,209.621,3060.89,4848.65
23/01/2023,2578.61,2527.85,1125.24,420.408,222.444,3118.84,5208.48
24/01/2023,2585.53,2503.48,1120.63,423.947,223.193,3089.04,5216.76
25/01/2023,2574.43,2446.97,1106.02,414.236,216.19,3072.74,5050.37
26/01/2023,2586.97,2481.6,1128.87,424.706,221.801,3118.95,5170.07
27/01/2023,2594.65,2475.86,1134.34,422.717,222.617,3195.23,5158.18
30/01/2023,2553.05,2410.76,1101.96,435.869,230.182,3102.29,5180.56
31/01/2023,2591.92,2456.96,1128.55,417.851,221.973,3165.39,5176.5
01/02/2023,2654.59,2539.71,1156.4,423.564,228.311,3257.73,5112.67
02/02/2023,2672.48,2593.66,1186.87,435.122,230.439,3406.66,5399.52
03/02/2023,2621.2,2564.42,1170.77,432.678,228.937,3365.35,5396.66
06/02/2023,2579.84,2545.85,1151.6,425.995,231.184,3357.43,5280.9
07/02/2023,2606.71,2583.74,1166.54,422.084,226.876,3418.75,5239.29
08/02/2023,2566.52,2545.01,1151.93,433.256,234.079,3352.08,5266.26
09/02/2023,2463.15,2432.74,1105.88,427.34,231.33,3270.41,5217.96
10/02/2023,2434.43,2360.29,1084,404.328,216.585,3256.48,4912
13/02/2023,2430.1,2302.76,1058.03,402.199,218.665,3256.93,4821.87
14/02/2023,2489.82,2404.53,1104.5,400.138,217.395,3295.7,4975.36
15/02/2023,2704.35,2577.65,1182.08,409.05,222.458,3370.68,5115.81
16/02/2023,2752.04,2600.84,1201.26,444.047,233.148,3280.59,5568
17/02/2023,2782.53,2646.76,1220.85,444.047,233.148,3244.01,5417.45
20/02/2023,2782.53,2646.76,1220.85,443.935,232.838,3240.36,5644.19
21/02/2023,2746.92,2581.69,1199.55,451.916,238.367,3166.96,5527.73
22/02/2023,2673.16,2504.33,1162.59,443.512,233.45,3177.06,5327.12
23/02/2023,2687.19,2558.59,1178.19,439.907,232.941,3228.24,5426.85
24/02/2023,2605.23,2491.44,1138.29,437.123,230.374,3197.89,5244.79
27/02/2023,2618.53,2514.13,1133.45,431.589,225.822,3177.1,5300.91
28/02/2023,2603.82,2507.8,1132.43,430.251,225.105,3220.29,5269.36
01/03/2023,2625.51,2539.19,1141.55,423.564,221.09,3171.54,5025.65
02/03/2023,2631.53,2544.46,1138.54,433.901,225.081,3201.03,5211.26
03/03/2023,2500.98,2410.44,1083.32,430.218,221.512,3276.05,4997.38
06/03/2023,2508.17,2416.06,1078.98,410.803,213.533,3238.96,5027.08
07/03/2023,2473.4,2396.64,1066.17,410.85,212.748,3212.81,4960.06
08/03/2023,2478.57,2413.46,1061.19,408.335,210.149,3252.31,4915.01
09/03/2023,2272.93,2214.47,977.18,400.337,203.755,3149.63,4832.37
10/03/2023,2239.19,2190.92,972.11,376.176,196.895,3002.44,4563.99
13/03/2023,2732.47,2602.55,1145.07,408.848,207.242,2963.21,5298.94
14/03/2023,2813.29,2668.89,1171.8,440.461,211.207,3051.95,5679.31
15/03/2023,2732.07,2546.78,1121.69,448.594,214.366,3110.5,5298.27
16/03/2023,2801.96,2601.64,1149.69,439.866,205.314,3088.74,5396.11
17/03/2023,3008.17,2697.75,1208.6,451.401,207.899,3079.86,5653.51
20/03/2023,3132.19,2719.12,1224.68,494.757,215.436,3059.86,5868.41
21/03/2023,3162.42,2779.62,1252.26,487.022,208.385,3126.73,5940.42
22/03/2023,3022.65,2669.13,1198.47,499.915,217.91,3052.46,5989.34
23/03/2023,3173.2,2813.17,1264.71,499.915,217.91,2994.77,6027.49
24/03/2023,3123.42,2726.93,1230.33,501.536,217.244,3018.85,5844.43
27/03/2023,3028.2,2637.36,1185.57,494.669,212.914,3005.98,5653.13
28/03/2023,3073.06,2760.01,1224.38,479.637,208.673,2991.04,5669.41
29/03/2023,3186.75,2797.13,1259.31,486.326,213.075,3048.78,5898.33
30/03/2023,3138.17,2756.27,1237.52,501.123,217.508,3048.5,5909.45
31/03/2023,3188.88,2825.83,1267.92,497.39,215.235,3125.03,5980.43
03/04/2023,3137.36,2795.26,1258.52,499.056,218.34,3106.03,5866.72
04/04/2023,3164.72,2892.58,1274.55,494.36,226.099,3068.23,5976.19
05/04/2023,3166.97,2954.28,1286.79,503.302,227.072,3043.05,6001.16
